 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE,LIFESOURCE COMM,Commercial,305340,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95711 MEASUREMENT OF BRAIN WAVE ACTIVITY WITH VIDEO (VEEG),95711,HCPCS,740,RC,7400028,CDM,,,OUTPATIENT,,,500,200,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,425,85,PERCENT OF BILLED CHARGES,,,,0,194.95,500,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95711 MEASUREMENT OF BRAIN WAVE ACTIVITY WITH VIDEO (VEEG),95711,HCPCS,740,RC,7400028,CDM,,,OUTPATIENT,,,500,200,UNITED,UNITED HEALTHCARE- NON OPTIONS,,373,74.6,PERCENT OF BILLED CHARGES,,,,0,194.95,500,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95712 MEASUREMENT OF BRAIN WAVE ACTIVITY WITH VIDEO (VEEG),95712,HCPCS,740,RC,7400029,CDM,,,OUTPATIENT,,,600,240,TRUECARE-CHIP,TRUECARE CHIP,,533.9,,FEE SCHEDULE,208.475,94.575,322.375,1 THROUGH 10,244.41,842.27,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
95783 SLEEP STUDY IN SLEEP LAB WITH CONTINUOUS AIRWAY PRESSURE  YOUNGER THAN 6,95783,HCPCS,920,RC,9200029,CDM,,,OUTPATIENT,,,2000,800,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,1560,78,PERCENT OF BILLED CHARGES,,,,0,775.32,2000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95800 SLEEP STUDY INCLUDING HEART RATE,95800,HCPCS,920,RC,9200037,CDM,,,OUTPATIENT,,,350,140,VA_CCN,VETERANS AFFAIRS COMMUNITY CARE NETWORK,,194.95,,APC,207.96,207.96,207.96,1 THROUGH 10,194.95,487.37,OTHER,APC,
95801 SLEEP STUDY INCLUDING HEART RATE AND BREATHING,95801,HCPCS,920,RC,9200038,CDM,,,OUTPATIENT,,,250,100,MEDICARE,MEDICARE,,53.26,,APC,,,,0,53.26,225,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95806 SLEEP STUDY INCLUDING HEART RATE,95806,HCPCS,920,RC,9200032,CDM,,,OUTPATIENT,,,700,280,MEDADV_PRIMEWELL,PRIMEWELL MEDICARE ADVANTAGE,,200.8,,APC,,,,0,194.95,700,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95807 SLEEP STUDY INCLUDING HEART RATE AND BREATHING ATTENDED BY TECHNICIAN,95807,HCPCS,920,RC,9200012,CDM,,,OUTPATIENT,,,1000,400,ADVHEALTH,STATE OF MS BLUE CROSS,,894.26,,APC,,,,0,336.91,1000,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95807 SLEEP STUDY INCLUDING HEART RATE AND BREATHING ATTENDED BY TECHNICIAN,95807,HCPCS,920,RC,9200012,CDM,,,OUTPATIENT,,,1000,400,CIGNA,CIGNA COMMERCIAL,,580,58,PERCENT OF BILLED CHARGES,,,,0,336.91,1000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95810 SLEEP STUDY IN SLEEP LAB (6 YEARS OR OLDER),95810,HCPCS,920,RC,9200014,CDM,,,OUTPATIENT,,,2000,800,ADVHEALTH,STATE OF MS BLUE CROSS,,1859.11,,APC,627.3,237.82,1480.14,1 THROUGH 10,775.32,3593,OTHER,APC,
95816 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG),95816,HCPCS,740,RC,7400003,CDM,,,OUTPATIENT,,,675,270,AETNA,AETNA,,573.75,85,PERCENT OF BILLED CHARGES,101.25,34.33,304.985,1 THROUGH 10,194.95,675,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,
95819 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG),95819,HCPCS,740,RC,7400004,CDM,,,OUTPATIENT,,,675,270,WELLCARE,WELLCARE MEDICARE ADVANTAGE,,200.8,,APC,529.41,383.82,675,1 THROUGH 10,194.95,675,OTHER,APC,
95829 MEASUREMENT OF BRAIN WAVE ACTIVITY (EEG) DURING SURGERY,95829,HCPCS,740,RC,7400007,CDM,,,OUTPATIENT,,,1887,754.8,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,1320.9,70,PERCENT OF BILLED CHARGES,,,,0,754.8,1698.3,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95852 MEASUREMENT OF RANGE OF MOTION OF HAND,95852,HCPCS,420,RC,4200007,CDM,,,OUTPATIENT,,,40,16,MS-CAN-MAGNOLIA,MSCAN MAGNOLIA (CENTENE),,4.85,,FEE SCHEDULE,,,,0,4.8,40,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95860 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95860,HCPCS,922,RC,9220001,CDM,,,OUTPATIENT,,,250,100,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,212.5,85,PERCENT OF BILLED CHARGES,,,,0,101.18,300.31,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95860 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95860,HCPCS,922,RC,9220001,CDM,,,OUTPATIENT,,,250,100,MS-CAN-TRUECARE,MSCAN TRUECARE,,103.14,,FEE SCHEDULE,,,,0,101.18,300.31,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95861 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95861,HCPCS,922,RC,9220002,CDM,,,OUTPATIENT,,,590,236,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,300.31,,APC,,,,0,101.18,531,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95861 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95861,HCPCS,922,RC,9220002,CDM,,,OUTPATIENT,,,590,236,MULTIPLAN,MULTIPLAN,,472,80,PERCENT OF BILLED CHARGES,,,,0,101.18,531,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95861 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95861,HCPCS,922,RC,9220002,CDM,,,OUTPATIENT,,,590,236,PHCS,PHCS NETWORK,,531,90,PERCENT OF BILLED CHARGES,,,,0,101.18,531,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95863 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95863,HCPCS,922,RC,9220003,CDM,,,OUTPATIENT,,,350,140,UNITED,UNITED HEALTHCARE- NON OPTIONS,,261.1,,REVENUE CODE PER UNIT,,,,0,116.17,350,OTHER,REVENUE CODE PER UNIT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95864 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN ARM OR LEG MUSCLES,95864,HCPCS,922,RC,9220004,CDM,,,OUTPATIENT,,,357,142.8,MS-CAN-MOLINA,MSCAN MOLINA,,122.81,,FEE SCHEDULE,233,233,233,1 THROUGH 10,116.17,357,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,
95867 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN MUSCLES ON SIDE OF BODY,95867,HCPCS,922,RC,9220007,CDM,,,OUTPATIENT,,,600,240,VA_CCN,VETERANS AFFAIRS COMMUNITY CARE NETWORK,,194.95,,APC,,,,0,194.95,600,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95868 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN MUSCLES ON BOTH SIDES OF BODY,95868,HCPCS,922,RC,9220008,CDM,,,OUTPATIENT,,,600,240,MEDADV_UHC,UNITED HEALTHCARE MEDICARE ADVANTAGE,,200.8,,APC,,,,0,194.95,600,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95872 NEEDLE MEASUREMENT OF ELECTRICAL ACTIVITY IN MUSCLE,95872,HCPCS,922,RC,9220012,CDM,,,OUTPATIENT,,,350,140,TRUECARE-CHIP,TRUECARE CHIP,,268.27,,FEE SCHEDULE,,,,0,122.81,487.37,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95907 NERVE CONDUCTION,95907,HCPCS,922,RC,9220037,CDM,,,OUTPATIENT,,,350,140,MEDADV_PRIMEWELL,PRIMEWELL MEDICARE ADVANTAGE,,200.8,,APC,,,,0,122.81,487.37,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95910 NERVE CONDUCTION,95910,HCPCS,922,RC,9220040,CDM,,,OUTPATIENT,,,600,240,UNITED,UNITED HEALTHCARE- NON OPTIONS,,447.6,,REVENUE CODE PER UNIT,152.4,152.4,600,21,244.41,842.27,OTHER,REVENUE CODE PER UNIT,
95911 NERVE CONDUCTION,95911,HCPCS,922,RC,9220041,CDM,,,OUTPATIENT,,,1250,500,MEDADV_HUMANA,HUMANA MEDICARE ADVANTAGE,,350.39,,APC,379.525,8.02,749.03,50,336.91,1250,OTHER,APC,
95912 NERVE CONDUCTION,95912,HCPCS,922,RC,9220042,CDM,,,OUTPATIENT,,,1250,500,FIRSTHEALTH,FIRST HEALTH NETWORK,,1000,80,PERCENT OF BILLED CHARGES,,,,0,336.91,1250,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95913 NERVE CONDUCTION,95913,HCPCS,922,RC,9220043,CDM,,,OUTPATIENT,,,1000,400,CIGNA,CIGNA COMMERCIAL,,580,58,PERCENT OF BILLED CHARGES,,,,0,336.91,1000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95913 NERVE CONDUCTION,95913,HCPCS,922,RC,9220043,CDM,,,OUTPATIENT,,,1000,400,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,850,85,PERCENT OF BILLED CHARGES,,,,0,336.91,1000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95913 NERVE CONDUCTION,95913,HCPCS,922,RC,9220043,CDM,,,OUTPATIENT,,,1000,400,VA_CCN,VETERANS AFFAIRS COMMUNITY CARE NETWORK,,336.91,,APC,518.3,518.3,518.3,1 THROUGH 10,336.91,1000,OTHER,APC,
95921 TESTING OF AUTONOMIC NERVOUS SYSTEM FUNCTION  HEART RATE,95921,HCPCS,922,RC,9220017,CDM,,,OUTPATIENT,,,350,140,PHCS,PHCS NETWORK,,315,90,PERCENT OF BILLED CHARGES,,,,0,116.17,350,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95922 TESTING OF AUTONOMIC (SYMPATHETIC) NERVOUS SYSTEM FUNCTION,95922,HCPCS,922,RC,9220018,CDM,,,OUTPATIENT,,,250,100,MAGNOLIA-CHIP,MAGNOLIA CHILDRENS HEALTH INSURANCE (CHIP),,221.02,,FEE SCHEDULE,,,,0,101.18,300.31,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95922 TESTING OF AUTONOMIC (SYMPATHETIC) NERVOUS SYSTEM FUNCTION,95922,HCPCS,922,RC,9220018,CDM,,,OUTPATIENT,,,250,100,MS-CAN-MOLINA,MSCAN MOLINA,,101.18,,FEE SCHEDULE,,,,0,101.18,300.31,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95922 TESTING OF AUTONOMIC (SYMPATHETIC) NERVOUS SYSTEM FUNCTION,95922,HCPCS,922,RC,9220018,CDM,,,OUTPATIENT,,,250,100,MULTIPLAN,MULTIPLAN,,200,80,PERCENT OF BILLED CHARGES,,,,0,101.18,300.31,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95922 TESTING OF AUTONOMIC (SYMPATHETIC) NERVOUS SYSTEM FUNCTION,95922,HCPCS,922,RC,9220018,CDM,,,OUTPATIENT,,,250,100,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,195,78,PERCENT OF BILLED CHARGES,,,,0,101.18,300.31,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95923 TESTING OF AUTONOMIC (SYMPATHETIC) NERVOUS SYSTEM FUNCTION,95923,HCPCS,922,RC,9220019,CDM,,,OUTPATIENT,,,290,116,FIRSTHEALTH,FIRST HEALTH NETWORK,,232,80,PERCENT OF BILLED CHARGES,,,,0,101.18,300.31,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95924 TESTING OF AUTONOMIC  SYMPATHETIC  PARASYMPATHETIC  NERVOUS SYSTEM,95924,HCPCS,922,RC,9220036,CDM,,,OUTPATIENT,,,675,270,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,573.75,85,PERCENT OF BILLED CHARGES,,,,0,194.95,675,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95926 PLACEMENT OF SKIN ELECTRODES AND MEASUREMENT OF STIMULATED SITES IN LEGS,95926,HCPCS,922,RC,9220023,CDM,,,OUTPATIENT,,,600,240,MEDADV_UHCDSNP,UNITED MEDICARE ADV DUAL SPECIAL NEEDS (DSNP),,200.8,,APC,,,,0,194.95,600,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95926 PLACEMENT OF SKIN ELECTRODES AND MEASUREMENT OF STIMULATED SITES IN LEGS,95926,HCPCS,922,RC,9220023,CDM,,,OUTPATIENT,,,600,240,MOLINA-CHIP,MOLINA CHILDRENS HEALTH INSURANCE PLAN,,522.04,,FEE SCHEDULE,,,,0,194.95,600,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95928 PLACEMENT OF SKIN ELECTRODES  OF CENTRAL MOTOR STIMULATION IN ARMS,95928,HCPCS,922,RC,9220027,CDM,,,OUTPATIENT,,,2000,800,TRUECARE-CHIP,TRUECARE CHIP,,1744.4,,FEE SCHEDULE,,,,0,775.32,2000,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95930 MEASUREMENT OF  CONDUCTION USING VISUAL STIMULATION TESTING WITH REPORT,95930,HCPCS,922,RC,9220028,CDM,,,OUTPATIENT,,,600,240,MOLINA-CHIP,MOLINA CHILDRENS HEALTH INSURANCE PLAN,,522.04,,FEE SCHEDULE,,,,0,194.95,600,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95930 MEASUREMENT OF  CONDUCTION USING VISUAL STIMULATION TESTING WITH REPORT,95930,HCPCS,922,RC,9220028,CDM,,,OUTPATIENT,,,600,240,TRICARE,TRICARE,,194.95,,APC,,,,0,194.95,600,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
95933 MEASUREMENT OF NERVE CONDUCTION PATTERNS OF EYE BLINK REFLEX,95933,HCPCS,740,RC,7400010,CDM,,,OUTPATIENT,,,125,50,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,106.25,85,PERCENT OF BILLED CHARGES,,,,0,46.62,133.15,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
